,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
134,MD,122359.0,1450125.0,1572484.0,15328.0,7431.0,3917.0,15328.0,1572484,2020-09-25,Maryland,39.063946,-76.802101
135,ME,5235.0,401159.0,406394.0,442.0,4507.0,140.0,442.0,406394,2020-09-25,Maine,44.693947,-69.381927
136,MI,133377.0,3368935.0,3502312.0,,90216.0,7027.0,,3502312,2020-09-25,Michigan,43.326618,-84.536095
137,MN,94189.0,1256967.0,1924020.0,7391.0,84256.0,2046.0,7391.0,1351156,2020-09-25,Minnesota,45.694454,-93.900192
138,MO,120298.0,1152867.0,1273165.0,,,1994.0,,1273165,2020-09-25,Missouri,38.456085,-92.288368
139,MP,69.0,14776.0,14845.0,4.0,29.0,2.0,4.0,14845,2020-09-25,Northern Mariana Islands,15.09,145.67
140,MS,96032.0,630354.0,726386.0,5607.0,85327.0,2894.0,5607.0,726386,2020-09-25,Mississippi,32.741646,-89.678696
141,MT,11564.0,314552.0,326116.0,675.0,8681.0,170.0,675.0,326116,2020-09-25,Montana,46.921925,-110.454353
142,NC,204331.0,2703286.0,2907617.0,,176422.0,3409.0,,2907617,2020-09-25,North Carolina,35.630066,-79.806419
143,ND,19885.0,214749.0,587564.0,789.0,16104.0,156.0,789.0,234634,2020-09-25,North Dakota,47.528912,-99.784012
144,NE,42731.0,394573.0,437304.0,2259.0,31774.0,462.0,2259.0,437304,2020-09-25,Nebraska,41.12537,-98.268082
145,NH,8044.0,239107.0,417689.0,732.0,7325.0,438.0,732.0,247151,2020-09-25,New Hampshire,43.452492,-71.563896
146,NJ,202100.0,3276611.0,3478711.0,23285.0,34650.0,16097.0,23285.0,3478711,2020-09-25,New Jersey,40.298904,-74.521011
147,NM,28224.0,857149.0,885373.0,3402.0,15825.0,859.0,3402.0,885373,2020-09-25,New Mexico,34.840515,-106.248482
148,NV,77753.0,603583.0,681336.0,,2075.0,1573.0,,681336,2020-09-25,Nevada,38.313515,-117.055374
149,NY,453755.0,9869708.0,10323463.0,89995.0,76456.0,25446.0,89995.0,10323463,2020-09-25,New York,42.165726,-74.948051
150,OH,148894.0,2846699.0,2995593.0,15127.0,128369.0,4734.0,15127.0,2995593,2020-09-25,Ohio,40.388783,-82.764915
151,OK,82520.0,1058144.0,1140664.0,6192.0,68911.0,993.0,6192.0,1147032,2020-09-25,Oklahoma,35.565342,-96.928917
152,OR,32314.0,630592.0,662906.0,2496.0,5490.0,542.0,2496.0,662906,2020-09-25,Oregon,44.572021,-122.070938
153,PA,154203.0,1816397.0,1970600.0,,126446.0,8081.0,,1970600,2020-09-25,Pennsylvania,40.590752,-77.209755
154,PR,44905.0,305972.0,350877.0,,,635.0,,350877,2020-09-25,Puerto Rico,18.22,-66.3
155,RI,24181.0,305853.0,727469.0,2725.0,2278.0,1107.0,2725.0,330034,2020-09-25,Rhode Island,41.680893,-71.51178
156,SC,143902.0,1082565.0,1226467.0,8994.0,68854.0,3297.0,8994.0,1226467,2020-09-25,South Carolina,33.856892,-80.945007
157,SD,20554.0,163393.0,183947.0,1400.0,16831.0,216.0,1400.0,183947,2020-09-25,South Dakota,44.299782,-99.438828
158,TN,189454.0,2573391.0,2762845.0,8477.0,172618.0,2352.0,8477.0,2762845,2020-09-25,Tennessee,35.747845,-86.692345
